district,percentage,district,majority
"Harmony Area SD",0.01,"Harmony Area SD",White
"Kennett Consolidated SD",0.01,"Kennett Consolidated SD",White
"Lancaster SD",0.01,"Lancaster SD",Hispanic
"Lewisburg Area SD",0.01,"Lewisburg Area SD",White
"Manheim Township SD",0.01,"Manheim Township SD",White
"Marple Newtown SD",0.01,"Marple Newtown SD",White
"Montour SD",0.01,"Montour SD",White
"North Clarion County SD",0.01,"North Clarion County SD",White
"North Hills SD",0.01,"North Hills SD",White
"Northwestern Lehigh SD",0.01,"Northwestern Lehigh SD",White
"Pequea Valley SD",0.01,"Pequea Valley SD",White
"Perkiomen Valley SD",0.01,"Perkiomen Valley SD",White
"Pine-Richland SD",0.01,"Pine-Richland SD",White
"Quaker Valley SD",0.01,"Quaker Valley SD",White
"Ridley SD",0.01,"Ridley SD",White
"Riverview SD",0.01,"Riverview SD",White
"Rose Tree Media SD",0.01,"Rose Tree Media SD",White
"Seneca Valley SD",0.01,"Seneca Valley SD",White
"South Side Area SD",0.01,"South Side Area SD",White
"Southern Lehigh SD",0.01,"Southern Lehigh SD",White
"Springfield SD",0.01,"Springfield SD",White
"West Allegheny SD",0.01,"West Allegheny SD",White
"West Chester Area SD",0.01,"West Chester Area SD",White
"Wissahickon SD",0.01,"Wissahickon SD",White
"Austin Area SD",0,"Austin Area SD",White
"Blackhawk SD",0,"Blackhawk SD",White
"Lower Moreland Township SD",0,"Lower Moreland Township SD",White
"New Hope-Solebury SD",0,"New Hope-Solebury SD",White
"Radnor Township SD",0,"Radnor Township SD",White
